,state,2020 Population,Congregations,Adherents,Number of CoCs,"Overall Homeless, 2022","Overall Homeless - Under 18, 2022","Overall Homeless - Age 18 to 24, 2022","Overall Homeless - Over 24, 2022","Unsheltered Homeless, 2022","Unsheltered Homeless - Under 18, 2022","Unsheltered Homeless - Age 18 to 24, 2022","Unsheltered Homeless - Over 24, 2022",2020,Number,foster,Non-Elderly Population,Non-Elderly Uninsured Population,Age 0-18,Age 19-34,Age 35-49,Age 50-64,Male,Female,number_food_insecure_household,"Moderately
Burdened
Renter
Households","Severely
Burdened
Renter
Households"
32,North Carolina,10439388.0,16200.0,5443737.0,12,9382,1743,556,7083,3625,501,248,2876,2021,Number,11238,8752300,1088500,133000,386600,334200,234700,606800,481700,4450000,293670,322447
33,North Dakota,779094.0,1452.0,428647.0,1,610,116,45,449,83,4,7,72,2021,Number,1510,651500,57200,13500,21300,11100,11400,34000,23200,331000,22837,22223
34,Ohio,11799448.0,13906.0,5646238.0,9,10654,2098,930,7626,1948,69,159,1720,2021,Number,15449,9676600,780900,140300,285800,186300,168600,449200,331800,4816000,322610,368014
35,Oklahoma,3959353.0,7166.0,2422123.0,8,3754,528,360,2866,1317,31,85,1201,2021,Number,7479,3341200,554400,72500,211300,157500,113100,316000,238400,1591000,106615,108371
36,Oregon,4237256.0,4072.0,1405973.0,8,17959,2157,987,14815,11088,1291,550,9247,2021,Number,5269,3456300,262300,31400,95400,83400,52200,157200,105100,1761000,145538,151352
37,Pennsylvania,13002700.0,15135.0,6097345.0,16,12691,2974,943,8774,1606,61,103,1442,2021,Number,13654,10498400,725400,120300,271000,185900,148200,443400,282000,5063000,309381,380068
38,Rhode Island,1097379.0,708.0,565251.0,1,1577,317,101,1159,248,0,22,226,2021,Number,1823,895800,45500,4100,17400,14400,9500,27700,17800,430000,37996,43287
39,South Carolina,5118425.0,8205.0,2695900.0,4,3608,539,251,2818,1234,93,81,1060,2021,Number,3944,4224700,528000,63400,195700,154200,114700,299600,228300,2180000,126045,141258
40,South Dakota,886667.0,1944.0,491026.0,1,1389,281,96,1012,342,56,20,266,2021,Number,1647,738700,85500,19500,32600,20700,12800,44400,41100,367000,17149,24129
41,Tennessee,6910840.0,13397.0,3844957.0,10,10567,1460,629,8478,6133,618,355,5160,2021,Number,9227,5786900,722100,81800,268200,213200,158900,421800,300300,2826000,189694,204157
42,Texas,29145505.0,29750.0,16045479.0,11,24432,3791,1508,19133,10971,701,516,9754,2021,Number,28042,25630900,5357800,930800,1961000,1498400,967600,2897600,2460100,10766000,833893,841828
43,Utah,3271616.0,6018.0,2489571.0,3,3557,697,235,2625,873,11,49,813,2021,Number,2119,2949600,307800,81900,104000,77900,43900,173200,134600,1139000,62667,56295
44,Vermont,643077.0,823.0,242017.0,2,2780,481,221,2078,45,3,2,40,2021,Number,1054,512600,21300,1900,8100,5700,5600,15600,5700,279000,16811,17213
45,Virginia,8631393.0,10465.0,3970305.0,16,6529,1418,413,4698,685,22,66,597,2021,Number,4977,7237700,587100,87900,212400,172000,114900,344000,243100,3412000,248025,255288
46,Washington,7705281.0,6196.0,3184751.0,6,25211,4044,1661,19506,12668,1065,653,10950,2021,Number,8894,6486300,492000,58300,193500,148000,92200,279100,213000,3096000,237814,236742
47,West Virginia,1793716.0,4072.0,677633.0,4,1375,90,131,1154,399,6,34,359,2021,Number,7152,1412800,117500,13300,42700,36200,25400,73400,44200,740000,38691,44270
48,Wisconsin,5893718.0,6183.0,2831594.0,4,4775,1228,311,3236,301,30,11,260,2021,Number,6771,4841700,327800,58300,127000,82000,60400,202500,125300,2483000,160772,166223
49,Wyoming,576851.0,958.0,233016.0,1,648,106,79,463,64,3,6,55,2021,Number,836,474000,68000,14500,23400,18300,11900,36900,31100,233000,12956,14434
